stamp,doc_type,n_sentences,n_directional,tone_finbert,tone_direction,tone_finbert_aug,chair
2021-04-28 14:30:00,speech,498.0,5.0,-0.037404582244774186,0.5,-0.03200902041406876,Powell
2021-05-03 14:20:00,speech,58.0,0.0,-0.1518008805297572,,-0.1518008805297572,Powell
2021-05-19 14:00:00,minutes,299.0,5.0,-0.0695876702541691,0.5,-0.06259765973109066,Powell
2021-06-16 14:00:00,statement,18.0,0.0,-0.43769704923033714,,-0.43769704923033714,Powell
2021-06-16 14:30:00,speech,537.0,4.0,-0.05688187612473854,-0.25,-0.05853609215586101,Powell
2021-07-07 14:00:00,minutes,320.0,7.0,-0.14221400297246872,0.06999999999999999,-0.14133863887470216,Powell
2021-07-14 08:30:00,speech,44.0,0.0,-0.3796990485015241,,-0.3796990485015241,Powell
2021-07-28 14:00:00,statement,18.0,0.0,-0.5242515773408942,,-0.5242515773408942,Powell
2021-07-28 14:30:00,speech,510.0,3.0,-0.021946818830774113,0.5,-0.01982120619904177,Powell
2021-08-18 14:00:00,minutes,328.0,6.0,-0.03437779418465386,0.3416666666666666,-0.02905381826070569,Powell
2021-08-27 10:00:00,speech,133.0,0.0,-0.003701467235061459,,-0.003701467235061459,Powell
2021-09-22 14:00:00,statement,19.0,0.0,-0.4859460313853465,,-0.4859460313853465,Powell
2021-09-22 14:30:00,speech,480.0,1.0,-0.042758597534460326,-0.5,-0.043545823241584,Powell
2021-10-13 14:00:00,minutes,295.0,6.0,-0.03713712196607711,0.3333333333333333,-0.01948272719095319,Powell
2021-11-03 14:00:00,statement,22.0,0.0,-0.3298478766598485,,-0.3298478766598485,Powell
2021-11-03 14:30:00,speech,494.0,4.0,-0.0064036919309301416,0.25,-0.001732044532774431,Powell
2021-11-08 10:30:00,speech,28.0,0.0,0.2659346886378314,,0.2659346886378314,Powell
2021-11-24 14:00:00,minutes,272.0,8.0,-0.0595228248686694,0.375,-0.03045720887808677,Powell
2021-12-15 14:00:00,statement,20.0,0.0,-0.11114439610391855,,-0.11114439610391855,Powell
